Category Name,Layer
Computer and Information Technology,1
Internet Service Provider (ISP),2
Phone Provider,2
"Hosting, Cloud Provider, Data Center, Server Colocation",2
Computer and Network Security,2
Software Development,2
Technology Consulting Services,2
Satellite Communication,2
Search,2
Internet Exchange Point (IXP),2
Other,2
"Media, Publishing, and Broadcasting",1
Online Music and Video Streaming Services,2
Online Informational Content,2
"Print Media (Newspapers, Magazines, Books)",2
Music and Video Industry,2
Radio and Television Providers,2
Other,2
Finance and Insurance,1
"Banks, Credit Card Companies, Mortgage Providers",2
Insurance Carriers and Agencies,2
"Accountants, Tax Preparers, Payroll Services",2
"Investment, Portfolio Management, Pensions and Funds",2
Other,2
Education and Research,1
Elementary and Secondary Schools,2
"Colleges, Universities, and Professional Schools",2
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",2
Research and Development Organizations,2
Education Software,2
Other,2
Service,1
"Law, Business, and Consulting Services",2
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",2
"Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)",2
"Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)",2
Other,2
"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",1
Community Groups and Nonprofits,1
Churches and Religious Organizations,2
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",2
Other,2
Construction and Real Estate,1
Buildings (Residential or Commercial),2
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",2
Real Estate (Residential and/or Commercial),2
Other,2
"Museums, Libraries, and Entertainment",1
Libraries and Archives,2
"Recreation, Sports, and Performing Arts",2
"Museums, Historical Sites, Zoos, Nature Parks",2
Casinos and Gambling,2
Tours and Sightseeing,2
Other,2
Utilities (Excluding Internet Service),1
"Electric Power Generation, Transmission, Distribution",2
Natural Gas Distribution,2
Water Supply and Irrigation,2
Sewage Treatment,2
Steam and Air-Conditioning Supply,2
Other,2
Health Care Services,1
Hospitals and Medical Centers,2
Medical Laboratories and Diagnostic Centers,2
"Nursing, Residential Care Facilities, Assisted Living, and Home Health Care",2
Other,2
Travel and Accommodation,1
Air Travel,2
Railroad Travel,2
Water Travel,2
"Hotels, Motels, Inns, Other Traveler Accommodation",2
Recreational Vehicle Parks and Campgrounds,2
"Boarding Houses, Dormitories, Workersâ€™ Camps",2
Food Services and Drinking Places,2
Other,2
"Freight, Shipment, and Postal Services",1
Postal Services and Couriers,2
Air Transportation,2
Railroad Transportation,2
Water Transportation,2
Trucking,2
"Space, Satellites",2
"Passenger Transit (Car, Bus, Taxi, Subway)",2
Other,2
Government and Public Administration,1
"Military, Defense, National Security, and International Affairs",2
"Law Enforcement, Public Safety, and Justice",2
"Government and Regulatory Agencies, Administrations, Departments, and Services",2
"Retail Stores, Wholesale, and E-commerce Sites",1
"Food, Grocery, Beverages",2
"Clothing, Fashion, Luggage",2
Other,2
Manufacturing,1
Automotive and Transportation,2
"Food, Beverage, and Tobacco",2
Clothing and Textiles,2
Machinery,2
Chemical and Pharmaceutical Manufacturing,2
Electronics and Computer Components,2
Other,2
Other,1
Individually Owned,2
Unknown,1
