ASN	AS-Name	Certainty
49709	VIDEOBYTE, IT	1
6939	HURRICANE - Hurricane Electric, Inc., US	0.97644
58511	ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU	0.974922
51088	A2B, NL	0.971053
12779	ITGATE, IT	0.971053
34019	HIVANE, FR	0.971014
38880	M21-AS-AP Micron21 Datacentre Pty Ltd, AU	0.970588
31019	MEANIE Meanie # Transits and route servers:, NL	0.968421
20953	INFONL-AS info.nl/hf Amsterdam, The Netherlands, NL	0.968
63927	RISE-HK RISE, HK	0.966102
7713	TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID	0.963061
1140	SIDN, NL	0.962667
263009	FORTE TELECOM LTDA., BR	0.96
199524	GCORE, AT	0.96
1103	SURFNET-NL SURFnet, The Netherlands, NL	0.957895
5394	UNIDATA Unidata S.p.A. NOC - Italy, IT	0.952113
39591	GLOBAL-E, NL	0.951219
39120	CONVERGENZE-AS ISP services in Italy, IT	0.947735
12859	NL-BIT BIT BV, NL	0.947368
34968	IUNXI, NL	0.947368
24875	NOVOSERVE-AS, NL	0.942105
8283	COLOCLUE-AS Netwerkvereniging Coloclue, Amsterdam, Netherlands, NL	0.935841
42541	FIBERBY, DK	0.930693
29467	LUXNETWORK Located in Dudelange, Luxembourg, LU	0.930556
34224	NETERRA-AS, BG	0.927505
47147	AS-ANX ANEXIA Internetdienstleistungs GmbH, AT	0.927336
37468	ANGOLA-CABLES, AO	0.925234
16552	TIGGEE - Tiggee LLC, US	0.925
39122	BLACKNIGHT-AS, IE	0.913121
60501	SIRIUSTEC-, IT	0.909836
3267	RUNNET, RU	0.902857
37100	SEACOM-AS, MU	0.900826
34288	AS34288 EDU-ZG-CH - Public Schools in the Canton of Zug, CH	0.898571
13237	LAMBDANET-AS European Backbone of AS13237, DE	0.89759
43376	DOT, RO	0.894737
20766	GITOYEN-MAIN-AS The main Autonomous System of Gitoyen (Paris, France)., FR	0.894118
36236	NETACTUATE - NetActuate, Inc, US	0.893162
42861	FOTONTELECOM Website: http://www.fotontel.ru, RU	0.886957
24482	SGGS-AS-AP SG.GS, SG	0.885496
45352	IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd, MY	0.885222
56665	ASN-TELINDUS-TELECOM, LU	0.881944
64271	RIXCLOUD-INC - rixCloud, US	0.88125
14907	WIKIMEDIA - Wikimedia Foundation Inc., US	0.880795
51185	ONECOM-AS, GB	0.87963
50304	BLIX, NO	0.878788
199938	NETZWERGE, DE	0.870748
25091	IP-MAX, CH	0.868421
49605	DTS-AS DTS, IT	0.867102
48362	TKSWF-AS, AT	0.865546
15547	NETPLUS, CH	0.864035
20562	OPEN-PEERING-AS Open Peering Initiative, Amsterdam, The Netherlands, NL	0.863839
34177	CELESTE-AS CELESTE - Internet services provider, FR	0.857143
12637	SEEWEB Web hosting, colocation and cloud services, IT	0.856209
57463	NETIX, BG	0.855051
15435	KABELFOON CAIW Autonomous System, NL	0.854305
31424	NEXELLENT-AS AS31424 is operated by:, CH	0.854077
25220	GLOBALNOC-AS equada network GmbH, DE	0.852321
29075	IELO IELO Main Network, FR	0.85209
50673	SERVERIUS-AS, NL	0.851724
30132	ISC-F-AS - Internet Systems Consortium, Inc., US	0.850549
10026	PACNET Pacnet Global Ltd, JP	0.85
37497	Network-Platforms, ZA	0.846269
9304	HUTCHISON-AS-AP Hutchison Global Communications, HK	0.836601
25160	VORBOSS_AS, GB	0.829646
3252	FBRX-AS, GB	0.810976
57111	ALTITUD, IT	0.80814
50763	MCKAYCOM, GB	0.801105
39351	ESAB-AS, SE	0.756798
28917	FIORD-AS IP-transit operator in Russia and Ukraine, RU	0.75502
8758	IWAY, CH	0.753754
50300	CUSTDC, GB	0.753754
18106	VIEWQWEST-SG-AP Viewqwest Pte Ltd, SG	0.751783
30844	LIQUID-AS, GB	0.725191
46997	KEYSIGHT-NEMO-CHANTILLY-VA - Xceed Technologies, Inc, US	0.723404
38001	NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG	0.7
29140	HOSTSERVER-AS Hostserver GmbH, DE	0.697674
52320	GlobeNet Cabos Submarinos Colombia, S.A.S., CO	0.691589
203900	-Reserved AS-, ZZ	0.683544
47441	TRUNKM, RU	0.666667
852	ASN852 - TELUS Communications Inc., CA	0.663551
41327	ASTECH, TJ	0.644599
24961	MYLOC-AS, DE	0.635135
48292	CIKLET, TR	0.6
24516	VIRTUTEL-AS-AP Virtutel Pty Ltd, AU	0.55409
8492	OBIT-AS `OBIT` Ltd., RU	0.552217
48526	ASN-TANGO Tango S.A., LU	0.522565
49375	AS-TRUNKNETWORKS ***Transit Customers***, GB	0.5
49463	ASN-LNC, FR	0.4
14840	COMMCORP COMUNICACOES LTDA, BR	0.386842
20764	RASCOM-AS CJSC RASCOM ISP, RU	0.305907
32097	WII-KC - WholeSale Internet, Inc., US	0.294118
20932	SIG-ST Service Telecom, CH	0.285088
11708	LINKCITY - City of North Kansas City, MO, US	0.283737
19016	WCG-AS - Westman Communications Group, CA	0.269444
28792	PUBLIC-INTERNET, GB	0.266667
28260	ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP, BR	0.25
59605	ZAINGP-AS, BH	0.211454
23106	Cemig Telecomunicações SA, BR	0.191781
61955	COLOCATIONIX-AS, DE	0.173333
36351	SOFTLAYER - SoftLayer Technologies Inc., US	0.170807
267613	ELETRONET S.A., BR	0.133333
7575	AARNET-AS-AP Australian Academic and Reasearch Network (AARNet), AU	0.127168
53828	NITEL - NETWORK INNOVATIONS, INC., US	0.127143
8218	NEO-ASN legacy Neotelecoms, FR	0.118026
1798	OREGON - State of Oregon, US	0.117986
63956	COLO-AS-AP Colocation Australia Pty Ltd, AU	0.102874
3280	HETNIX-AS, RO	0.0735294
28634	Life Tecnologia Ltda., BR	0.0732759
17639	CONVERGE-AS Converge ICT Solutions Inc., PH	0.0726644
58057	GUS-ONLINE-AS, RU	0.0625
3303	SWISSCOM Swisscom (Switzerland) Ltd, CH	0.0515021
266534	Antonio Cesar Azevedo - ME, BR	0.0428571
16347	RMI-FITECH, FR	0.0424107
13786	CODEANDTHEORY - Code & Theory, LLC., US	0.0416667
43607	TKK, PL	0.0344828
28220	CABO SERVICOS DE TELECOMUNICACOES LTDA, BR	0.028133
327960	PC-MANIACS, ZA	0.0245098
200130	DIGITALOCEAN-ASN-1, US	0.0238095
49697	JOEY-NETWORK Joey Julian Koenig, DE	0.0106762
61568	FSF TECNOLOGIA LTDA ME, BR	0.0104712
37697	webmasters, MZ	0.00961538
3130	RG-BIWA - RGnet, LLC, US	0.00434783
5413	AS5413, GB	0.00429185
49752	KONTSTR-AS, RU	0.00361011
43578	BITNAP bitNAP Datacenter 01 Barcelona, ES	0.00235849
25227	ASN-AVANTEL-MSK Located in Moscow, Russia., RU	0.00234742
198290	AS-GITS, LU	0.00223214
